method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
RRH_FD_075,0.051224944320712694,0.9433710859427049,7,1,1,1,1,0.07869934230801053,0.4233299838577551,5,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.0467706013363029,0.944037308461026,7,1,1,1,1,0.035713373248612026,0.37356448841820544,5,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.042316258351893093,0.9453697534976683,7,1,1,1,1,0.002888663415386987,0.24821200707524405,5,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.051224944320712694,0.9820119920053297,29,1,0,1,1,0.10306112565140348,0.8638658339260994,6,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.042316258351893093,0.9626915389740173,1,1,1,1,1,0.10306112565140348,0.8638658339260994,6,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0400890868596882,0.9520319786808794,1,1,1,1,1,0.23213592793225588,1.2630656059558678,6,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.044543429844097995,0.9506995336442372,1,1,1,1,1,0.15953598527371068,1.2536004850885059,6,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.042316258351893093,0.9533644237175216,1,1,1,1,1,0.10306112565140348,0.8638658339260994,6,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.0378619153674833,0.9540306462358428,86,1,0,0,1,0.04982425377926614,0.36953927994975544,7,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.04899777282850779,0.9526982011992006,43,1,0,1,1,0.04982425377926614,0.36953927994975544,7,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
